date,tvl_usd,symbol,fee_tier,project_contract_address
2022-11-06,76319877,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-07,75148887,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-08,68341571,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-09,52978099,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-10,58176680,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-11,57064918,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-12,56215118,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-13,55781593,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-14,52360191,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-15,52804502,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-16,51520172,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-17,51536395,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-18,51675669,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-19,52174041,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-20,49880510,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-21,50619846,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-22,52109138,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-23,54038771,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-24,56820919,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-25,59106868,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-26,62159180,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-27,61920388,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-28,60085623,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-29,62116972,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-11-30,64711891,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-12-01,65702567,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-12-02,66156963,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-12-03,62321088,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-12-04,63478851,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
2022-12-05,62762185,WETH-USDT,0.3%,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36
