week,venue,size_bucket,swap_count,total_volume_usd,total_eth_volume,project_contract_address
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,10k-100k,13570,269309241.05478793,70488.78264309467,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdc,1k-10k,38056,162292476.61526987,41932.310585086096,0xe0554a476a092703abdb3ef35c80e0d76d32939f
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,0.5k-1k,8726,6426976.747671402,1665.7247699134814,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,100k+,1302,478716212.7489492,121494.34690926837,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,10k-100k,11749,227562430.3059711,58276.41276463124,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.01_ethusdt,1k-10k,37991,164294190.65060997,42389.354856188875,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,0.5k-1k,2765,1972846.1915228528,508.3873563976528,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,100k+,532,103403557.42786822,26004.079328465155,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,10k-100k,11126,302434839.04840916,78142.11453575888,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdc,1k-10k,9751,43993770.304505095,11323.613568595367,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,0.5k-1k,1738,1257136.4466963524,326.04633560755985,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,100k+,1620,348241213.03598905,89417.44505751354,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,10k-100k,13529,477726778.1882901,124571.75758639287,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.05_ethusdt,1k-10k,6685,31655726.61965416,8151.188293376475,0x11b815efb8f581194ae79006d24e0d814b7697f6
2025-08-04 00:00:00.000 UTC,uniswap_v3_0.3_ethusdc,0.5k-1k,72,53197.88437701763,13.600409643840644,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8
