week,project_contract_address,symbol,fee_tier,tvl_usd
2022-09-05,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,303253517.3333333
2022-09-05,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,340667498.5
2022-09-05,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,117924857.07142857
2022-09-12,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,20326781.14285714
2022-09-12,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,31511508.285714287
2022-09-12,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,41031634.85714286
2022-09-12,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,114978081.28571428
2022-09-12,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,32403051.714285713
2022-09-12,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,265238585.85714287
2022-09-12,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,310586233.14285713
2022-09-12,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,94475301.71428572
2022-09-19,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,19582134.14285714
2022-09-19,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,18025560.285714287
2022-09-19,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,47608688.28571428
2022-09-19,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,65495408.428571425
2022-09-19,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,25801891.285714287
2022-09-19,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,146836806.7142857
2022-09-19,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,199596872.2857143
2022-09-19,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,86106152.21428572
2022-09-26,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,20807291.0
2022-09-26,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,16340406.285714285
2022-09-26,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,USDC-WETH,,50153218.571428575
2022-09-26,0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH-USDT,0.3%,59824918.28571428
2022-09-26,0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC-WETH,1%,25043075.14285714
2022-09-26,0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,USDC-WETH,0.05%,144163173.85714287
2022-09-26,0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC-WETH,0.3%,207917301.2857143
2022-09-26,0xd51a44d3fae010294c616388b506acda1bfaae46,USDT-WBTC-WETH,,90352993.5
2022-10-03,0x06da0fd433c1a5d7a4faa01111c044910a184553,WETH-USDT,,23837298.714285713
2022-10-03,0x11b815efb8f581194ae79006d24e0d814b7697f6,WETH-USDT,0.05%,19223738.42857143
